Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Mega Froslass ex 265/217 Mega Attack Rare ASC,Ascended Heroes,$17.65,"NM $16.66 (last sold 15.99, 17.75, 16.15) · LP $17.15 (last sold 17.15) · eBay $16.30 (last sold 16.50, 14.99, 15.00)",2,"676,077",,2026-05-12,
Jigglypuff 198/091 Shiny PAF,Paldean Fates,$10.71,"NM $26.85 (last sold 27.10, 26.97, 27.18) · LP $11.08 (last sold 12.60, 10.35, 10.30) · eBay $20.69 (last sold 20.00, 31.00, 9.00)",1,"535,174",,2026-05-12,
Toxtricity VMAX 196/192 Rainbow RCL,Rebel Clash,$15.53,"NM $15.32 (last sold 16.25, 13.99, 11.00) · LP $14.65 (last sold 12.59, 14.87, 16.49) · MP $11.08 (last sold 12.95, 12.50, 7.79) · eBay $11.66 (last sold 11.99, 3.34, 20.00)",1,"213,157",,2026-05-12,
Leavanny 089/086 IR WHT,White Flare,$31.61,"NM $31.04 (last sold 43.99, 34.99, 30.00)",1,"642,204",,2026-05-12,
Scolipede 134/086 IR BLK,Black Bolt,$23.26,"NM $23.23 (last sold 22.44, 25.08, 26.17) · LP $21.32 (last sold 21.64, 21.00) · eBay $22.20 (last sold 24.99, 19.97, 27.04)",1,"642,589",,2026-05-12,
Amoonguss 096/086 IR BLK,Black Bolt,$22.00,"NM $36.76 (last sold 41.47, 38.70, 39.98) · LP $30.00 (last sold 30.00) · eBay $18.87 (last sold 6.19, 7.25, 33.74)",1,"642,545",,2026-05-12,
Floragato 197/193 IR PAL,Paldea Evolved,$20.25,"NM $20.45 (last sold 20.29, 21.61, 21.00) · LP $15.04 (last sold 15.90, 15.00, 14.64) · MP $20.43 (last sold 20.43) · eBay $16.70 (last sold 21.66, 16.99, 17.00)",1,"497,600",,2026-05-12,
Iron Boulder ex 207/162 SIR TEF,Temporal Forces,$18.75,"NM $18.06 (last sold 19.97, 19.75, 19.75) · LP $17.23 (last sold 16.49, 17.43, 17.51) · eBay $22.20 (last sold 25.99, 19.99, 25.00)",1,"542,928",,2026-05-12,
Penny 239/091 SIR PAF,Paldean Fates,$19.92,"NM $19.90 (last sold 17.94, 21.37, 19.99) · LP $18.92 (last sold 19.39, 17.12, 20.52) · eBay $21.79 (last sold 33.99, 19.00, 17.95)",2,"535,108",,2026-05-12,
Fezandipiti ex 288/217 SIR ASC,Ascended Heroes,$77.15,"NM $77.77 (last sold 70.99, 70.00, 69.00)",2,"676,100",,2026-05-12,
Omanyte 180/165 IR MEW,Scarlet & Violet 151,$18.99,"NM $18.28 (last sold 16.50, 19.00, 18.07) · LP $13.82 (last sold 13.82) · MP $14.75 (last sold 14.75) · eBay $12.10 (last sold 10.00, 12.00, 11.50)",1,"517,031",,2026-05-12,
Poliwhirl 176/165 IR MEW,Scarlet & Violet 151,$55.91,"NM $55.46 (last sold 55.19, 48.98, 55.00) · LP $43.88 (last sold 43.43, 41.25, 41.35) · eBay $38.39 (last sold 46.99, 41.00, 49.99)",1,"517,034",,2026-05-12,
Rapid Strike Urshifu VMAX 170/163 Alt Art Secret BST,Battle Styles,$72.72,"NM $71.70 (last sold 70.00, 72.50, 87.95) · LP $71.64 (last sold 73.28, 70.00) · MP $61.50 (last sold 61.50) · eBay $6.50 (last sold 1.90, 1.96, 2.24)",1,"234,093",,2026-05-12,
